year,proptype,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
2000,LND,738,291,135695803.0,201334.0,,404597610,370638.0,184,111306716.0,229704.0,101,60663131.0,201334.0,50643585.0,285529.0,554,293290894.0,428201.5,190,75032672.0,205910.0,218258222.0,526622.0,55.29476250639823,44.70523749360177,34.707903780068726,65.29209621993127,24.932249322493224,75.06775067750678,25.58302133989881,54.50087216659954,54.891304347826086,34.29602888086642
2000,R1F,24956,2727,1927623446.0,439275.0,,16099490298,503336.0,1901,1305391308.0,479542.0,414,268113786.0,354989.0,1037277522.0,507912.0,23055,14794098990.0,505166.0,2313,1659509660.0,457578.0,13134589330.0,510657.0,86.09096675201988,13.909033247980116,15.181518151815181,84.81848184818482,7.617406635678795,92.38259336432121,11.217375665268548,20.538959035262707,21.77801157285639,10.032530904359142
2000,R2F,3885,393,198751928.0,356911.0,,1983766171,457578.0,479,282165471.0,466730.0,87,67258835.0,382535.0,214906636.0,475881.0,3406,1701600700.0,457578.0,306,131493093.0,347759.0,1570107607.0,464899.0,66.1594050046146,33.8405949953854,22.137404580152673,77.86259541984732,12.32947232947233,87.67052767052768,7.727611595364295,23.836663912715245,18.16283924843424,8.984145625366999
2000,R3F,1811,207,93747734.0,329456.0,,873336017,437445.0,364,205223202.0,439275.0,52,38793984.0,379789.5,166429218.0,448426.0,1447,668112815.0,437445.0,155,54953750.0,308408.0,613159065.0,439275.0,58.618750187604526,41.38124981239547,25.120772946859905,74.8792270531401,20.099392600773054,79.90060739922694,8.22522016734554,18.90331289149265,14.285714285714285,10.711817553559086
2000,RCD,14230,2698,1633393850.0,361399.0,,7251548921,345929.0,1281,1343433491.0,292850.0,379,341654088.0,199504.0,1001779403.0,327626.0,12949,5908115430.0,347759.0,2319,1291739762.0,384365.0,4616375668.0,343183.0,79.08317776511771,20.9168222348823,14.047442550037065,85.95255744996294,9.002108222066058,90.99789177793394,21.86382065998328,25.431410657008847,29.586260733801716,17.9087188199861
2001,LND,830,269,99590837.0,193317.0,,525031785,466327.0,199,106014959.0,236276.0,108,36222188.0,171837.0,69792771.0,343674.0,631,419016826.0,565343.0,161,63368649.0,240572.0,355648177.0,687176.0,63.62899530606415,36.37100469393585,40.14869888475837,59.85130111524164,23.97590361445783,76.02409638554218,15.12317526838409,34.16705372682359,54.2713567839196,25.51505546751189
2001,R1F,22944,2296,1645200138.0,461582.0,,14972165755,515511.0,1823,1233609112.0,489735.0,403,258704183.0,372027.0,974904929.0,515339.0,21121,13738556643.0,515511.0,1893,1386495955.0,479425.0,12352060688.0,515511.0,84.27521509240233,15.724784907597666,17.55226480836237,82.44773519163763,7.945432357043236,92.05456764295677,10.092005958329258,20.97132555875609,22.106417992320353,8.962643814213342
2001,R2F,3569,339,152897689.0,352724.0,,1934256175,498327.0,451,264470265.0,515511.0,59,37789426.0,369449.0,226680839.0,524962.0,3118,1669785910.0,498327.0,280,115108263.0,347970.0,1554677647.0,506919.0,75.28450152049061,24.715498479509392,17.404129793510325,82.59587020648968,12.63659288316055,87.36340711683945,6.893594101533651,14.288723913820709,13.082039911308204,8.980115458627324
2001,R3F,1582,134,60474345.0,407253.5,,841949978,501764.0,339,182867313.0,491454.0,33,13668472.0,343674.0,169198841.0,506919.0,1243,659082665.0,506919.0,101,46805873.0,421000.0,612276792.0,506919.0,77.39789988630716,22.60210011369284,24.62686567164179,75.3731343283582,21.428571428571427,78.57142857142857,7.10166956067643,7.474529906829221,9.734513274336283,8.125502815768302
2001,RCD,13394,2373,1347992553.0,386633.0,,7086937664,376323.0,1194,1374930224.0,343502.0,353,268541977.0,290404.0,1106388247.0,360858.0,12200,5712007440.0,378041.0,2020,1079450576.0,403817.0,4632556864.0,374604.0,80.07837829650087,19.921621703499127,14.875684787189211,85.12431521281079,8.914439301179634,91.08556069882037,18.897919642765732,19.531316739750423,29.564489112227804,16.557377049180328
2002,LND,936,245,110422143.0,246174.0,,651601778,590259.0,184,122207831.0,352849.0,78,50232543.0,217679.0,71975288.0,410290.0,752,529393947.0,660480.0,167,60189600.0,262585.0,469204347.0,756410.0,54.50863238544464,45.49136761455535,31.83673469387755,68.16326530612244,19.65811965811966,80.34188034188034,11.369529315755475,41.10419323291975,42.391304347826086,22.20744680851064
2002,R1F,24259,2451,1820176243.0,520247.0,,16597820818,561933.0,2096,1504981878.0,550116.0,448,319475350.0,492347.0,1185506528.0,565707.0,22163,15092838940.0,562835.0,2003,1500700893.0,525171.0,13592138047.0,566200.0,82.44810900984822,17.55189099015177,18.27825377396981,81.72174622603019,8.640092336864669,91.35990766313533,9.94313196454212,21.227853615390842,21.374045801526716,9.037585164463295
2002,R2F,3612,327,179887030.0,410290.0,,2228569642,574405.0,522,355573703.0,593278.5,85,60576422.0,484142.0,294997281.0,605587.0,3090,1872995939.0,574405.0,242,119310608.0,375825.0,1753685331.0,574405.0,66.32529760483565,33.67470239516434,25.993883792048926,74.00611620795107,14.451827242524917,85.54817275747509,6.370040933655223,17.036249162666564,16.28352490421456,7.831715210355987
2002,R3F,1541,127,80085057.0,451319.0,,1004023632,607229.0,378,264670120.0,617485.5,40,31008397.0,492347.5,233661723.0,623640.0,1163,739353512.0,602305.0,87,49076660.0,418495.0,690276852.0,613711.0,61.28067062498314,38.71932937501686,31.496062992125985,68.50393700787401,24.529526281635302,75.4704737183647,6.6377800610217434,11.715866150663324,10.582010582010582,7.480653482373173
2002,RCD,14760,2363,1362282236.0,429983.0,,7480249208,418413.0,1285,764881166.0,393878.0,368,247612699.0,332334.5,517268467.0,410290.0,13475,6715368042.0,418495.0,1995,1114669537.0,446562.0,5600698505.0,413982.0,81.82368583715423,18.176314162845767,15.573423614049936,84.42657638595006,8.705962059620596,91.2940379403794,16.598785502574245,32.37270180084418,28.638132295719842,14.805194805194805
2003,LND,851,268,212295808.0,314418.0,,657211650,597237.0,209,190659058.0,353720.0,93,120150787.0,286906.0,70508271.0,404420.0,642,466552592.0,661614.0,175,92145021.0,330139.0,374407571.0,754446.0,43.40406994753283,56.59593005246717,34.701492537313435,65.29850746268657,24.5593419506463,75.4406580493537,19.7501894920348,63.018661825130806,44.49760765550239,27.258566978193144
2003,R1F,24423,2760,1961816951.0,536083.0,,17233559847,581516.0,2174,1627099193.0,582773.5,604,437296067.0,550231.0,1189803126.0,589534.0,22249,15606460654.0,580101.0,2156,1524520884.0,534511.0,14081939770.0,581673.0,77.70963969002835,22.290360309971653,21.884057971014492,78.1159420289855,8.90144535888302,91.09855464111698,9.768524188790103,26.875808732577987,27.782888684452622,9.690323160591486
2003,R2F,3858,335,181453181.0,489313.0,,2488801363,617438.0,538,379165960.0,613115.0,86,56531460.0,489706.0,322634500.0,627264.0,3320,2109635403.0,619403.0,249,124921721.0,489313.0,1984713682.0,622548.0,68.84515350546542,31.15484649453459,25.671641791044774,74.32835820895522,13.94504924831519,86.05495075168481,5.921483912450251,14.90942383118991,15.985130111524162,7.5
2003,R3F,1519,128,77926799.0,554948.0,,1067520336,671282.0,318,238636859.0,668138.0,33,20181827.0,496780.0,218455032.0,674427.0,1201,828883477.0,672854.0,95,57744972.0,558092.0,771138505.0,675999.0,74.10155779656752,25.89844220343248,25.78125,74.21875,20.934825543120475,79.06517445687953,6.9665970672980375,8.457128996992036,10.377358490566039,7.91007493755204
2003,RCD,15006,2304,1329773620.0,438613.0,,7697912504,432325.0,1180,745701163.0,411101.5,348,258093597.0,392943.5,487607566.0,420927.0,13826,6952211341.0,434683.0,1956,1071680023.0,448046.0,5880531318.0,432325.0,80.5911628025829,19.408837197417107,15.104166666666666,84.89583333333334,7.863521258163401,92.1364787418366,15.414951738878676,34.61086153623177,29.491525423728817,14.147258787791117
2004,LND,805,234,197973580.0,410905.0,,745800028,669471.0,198,261084378.0,418133.5,75,101729367.0,380468.0,159355011.0,456561.0,607,484715650.0,754612.0,159,96244213.0,441342.0,388471437.0,836877.0,48.61467525111179,51.38532474888821,32.05128205128205,67.94871794871796,24.596273291925467,75.40372670807454,19.85580886443423,38.96417234124977,37.878787878787875,26.194398682042834
2004,R1F,27358,3105,2495743984.0,607226.0,,20677625799,614836.0,2701,2123405719.0,623967.0,788,648714551.0,608748.0,1474691168.0,623967.0,24657,18554220080.0,613314.0,2317,1847029433.0,604183.0,16707190647.0,616358.0,74.00716759576089,25.992832404239103,25.37842190016103,74.62157809983897,9.872797719131515,90.12720228086847,9.954767298416135,30.55066420869897,29.174379859311365,9.396925822281705
2004,R2F,4767,375,286399389.0,582876.0,,3316306423,654252.0,640,505950569.0,656306.5,105,113139256.0,532655.0,392811313.0,669623.0,4127,2810355854.0,653643.0,270,173260133.0,591551.0,2637095721.0,654404.0,60.49598555533231,39.50401444466769,28.000000000000004,72.0,13.42563457100902,86.57436542899099,6.16506029844575,22.361721269257036,16.40625,6.542282529682578
2004,R3F,1832,130,77572584.0,540264.0,,1328545032,715279.0,357,287285899.0,776154.0,34,22196778.0,593529.0,265089121.0,782241.0,1475,1041259133.0,707670.0,96,55375806.0,524565.0,985883327.0,713757.0,71.38579527014338,28.614204729856617,26.153846153846157,73.84615384615385,19.486899563318776,80.51310043668121,5.3181580112968865,7.726372257484172,9.523809523809524,6.508474576271187
2004,RCD,18704,3111,2117971023.0,494608.0,,10484362079,456409.0,1694,1313175579.0,461888.0,503,452994661.0,441190.0,860180918.0,471780.0,17010,9171186500.0,455344.5,2608,1664976362.0,502217.0,7506210138.0,448952.0,78.61185747676775,21.388142523232247,16.168434586949534,83.83156541305047,9.056886227544911,90.94311377245509,18.154427041691935,34.496122852433885,29.693034238488785,15.332157554379776
2005,LND,645,204,145496166.0,370352.0,,553661854,629598.0,169,166958870.0,414794.0,81,79568414.0,370352.0,87390456.0,518936.5,476,386702984.0,740703.0,123,65927752.0,370352.0,320775232.0,844401.0,45.31236376359223,54.68763623640777,39.705882352941174,60.29411764705882,26.2015503875969,73.7984496124031,17.048679407138994,47.65749432779462,47.928994082840234,25.840336134453786
2005,R1F,24873,3107,2517542274.0,622042.0,,19478092590,628116.0,2632,2280468783.0,654411.0,867,739919998.0,637005.0,1540548785.0,665744.0,22241,17197623807.0,623672.0,2240,1777622276.0,613968.5,15420001531.0,625524.0,70.60943104544667,29.39056895455333,27.90473125201159,72.09526874798841,10.581755317010414,89.4182446829896,10.33644121972507,32.44596038831197,32.940729483282674,10.071489591295355
2005,R2F,4427,407,326924569.0,566638.0,,3206244848,681447.0,631,551939504.0,688854.0,128,167832234.0,592562.0,384107270.0,703668.0,3796,2654305344.0,681447.0,279,159092335.0,543676.0,2495213009.0,685891.0,48.66331566533319,51.33668433466681,31.44963144963145,68.55036855036855,14.253444770725096,85.7465552292749,5.993746550660601,30.407722727525588,20.28526148969889,7.349841938883035
2005,R3F,1845,152,93320659.0,595404.5,,1411549801,748110.0,406,327107768.0,767739.0,62,41136622.0,625153.5,285971146.0,798477.5,1439,1084442033.0,748110.0,90,52184037.0,573304.0,1032257996.0,752554.0,55.91906182317037,44.08093817682963,40.78947368421053,59.210526315789465,22.005420054200542,77.99457994579946,4.812063292644431,12.575862154395551,15.270935960591133,6.254343293954134
2005,RCD,20378,3221,2172262913.0,503678.0,,11594626094,471087.0,1833,1375110714.0,479976.0,573,485860653.0,452221.0,889250061.0,485901.0,18545,10219515380.0,470346.0,2648,1686402260.0,511085.0,8533113120.0,466495.0,77.63343239474622,22.366567605253778,17.789506364483078,82.21049363551693,8.994994602021789,91.00500539797821,16.501783081616146,35.332475272969184,31.260229132569556,14.278781342679967
2006,LND,635,180,111950858.0,375827.5,,542961368,751655.0,140,130109104.0,434528.0,67,52535814.0,357931.0,77573290.0,515421.0,495,412852264.0,801623.0,113,59415044.0,379407.0,353437220.0,870064.0,53.07243290623105,46.92756709376894,37.22222222222222,62.77777777777778,22.04724409448819,77.95275590551181,14.391357195028002,40.378276680777084,47.85714285714286,22.828282828282827
2006,R1F,21256,3095,2362222766.0,564100.0,,15751945938,582712.0,2402,1896687403.0,574836.5,1095,819964066.0,542717.0,1076723337.0,598461.0,18854,13855258535.0,583428.0,2000,1542258700.0,572690.0,12312999835.0,585575.0,65.28845298580956,34.711547014190444,35.37964458804523,64.62035541195476,11.300338727888597,88.69966127211141,11.131215603837882,43.23137617211243,45.587010824313076,10.607828577490187
2006,R2F,3376,455,271944596.0,525855.0,,2265467142,644276.0,567,399326394.0,615642.0,240,155498504.0,535823.0,243827890.0,663604.0,2809,1866140748.0,645565.0,215,116446092.0,501104.0,1749694656.0,653940.0,42.819785247727445,57.18021475227255,52.74725274725275,47.25274725274725,16.795023696682463,83.20497630331754,6.2399415545048695,38.94020188407581,42.32804232804233,7.653969384122464
2006,R3F,1335,211,116321611.0,551214.0,,948674207,701545.0,345,242400211.0,661650.0,127,72207189.0,572690.0,170193022.0,730180.0,990,706273996.0,709990.5,84,44114422.0,503251.0,662159574.0,715862.0,37.924528056957534,62.07547194304247,60.18957345971564,39.81042654028436,25.842696629213485,74.15730337078652,6.246077619994947,29.78841837724308,36.811594202898554,8.484848484848486
2006,RCD,17704,2840,1903472838.0,489292.0,,9781021164,450993.0,1788,1377164980.0,472469.0,656,518837037.0,428801.5,858327943.0,479628.0,15916,8403856184.0,448130.0,2184,1384635801.0,501104.0,7019220383.0,443691.0,72.74260884409847,27.25739115590154,23.098591549295776,76.90140845070422,10.099412562132851,89.90058743786716,16.476195816346685,37.674283367269474,36.68903803131991,13.722040713747171
2007,LND,541,158,213837110.0,423373.0,,566006178,755016.0,133,202128568.0,373980.0,66,153794059.0,385269.5,48334509.0,373980.0,408,363877610.0,819100.5,92,60043051.0,444542.0,303834559.0,860859.0,28.078873213353845,71.92112678664616,41.77215189873418,58.22784810126582,24.58410351201479,75.41589648798521,16.50089187955258,76.08724512410339,49.62406015037594,22.54901960784314
2007,R1F,21162,3776,2741506457.0,499892.0,,15536244676,568732.0,2789,1947423021.0,501028.0,1595,1006060793.0,446519.0,941362228.0,599779.0,18373,13588821655.0,578610.0,2181,1735445664.0,564498.0,11853375991.0,578610.0,63.30262909171036,36.69737090828964,42.24046610169492,57.75953389830508,13.17928362158586,86.82071637841415,12.771126945811698,51.661132797094524,57.188956615274286,11.870679801883197
2007,R2F,2881,757,515899578.0,503371.0,,1921760335,564498.0,840,624883083.0,535154.5,543,401824235.0,508248.0,223058848.0,620948.0,2041,1296877252.0,582844.0,214,114075343.0,471003.0,1182801909.0,592723.0,22.111927953544477,77.88807204645552,71.73051519154558,28.269484808454425,29.156542867060047,70.84345713293995,8.796155752140528,64.30390675178512,64.64285714285715,10.485056344928957
2007,R3F,1059,359,196753535.0,558853.0,,682196890,599779.0,460,289393682.0,573820.0,292,161262572.0,561926.5,128131110.0,628004.0,599,392803208.0,620128.0,67,35490963.0,521808.0,357312245.0,634989.5,18.038284801337877,81.96171519866212,81.33704735376045,18.662952646239557,43.437204910292735,56.56279508970727,9.03530375444388,55.72428910179179,63.47826086956522,11.185308848080133
2007,RCD,17192,3083,1925964887.0,456106.0,,10073555484,445953.0,1985,1901531787.0,409261.0,956,563302630.0,350377.5,1338229157.0,458654.0,15207,8172023697.0,451598.0,2127,1362662257.0,508895.0,6809361440.0,444542.0,70.75218588863089,29.247814111369102,31.008757703535515,68.99124229646448,11.546067938576082,88.45393206142393,16.674722290639483,29.623624167162028,48.16120906801007,13.98697968041034
2008,LND,472,161,80134610.0,345269.0,,325404557,580743.0,126,69249423.0,345269.0,61,25269613.0,258261.0,43979810.0,469566.0,346,256155134.0,665316.5,100,54864997.0,395679.0,201290137.0,760973.5,68.46604357343226,31.533956426567745,37.88819875776397,62.11180124223602,26.69491525423729,73.30508474576271,21.418659912551274,36.490719929897466,48.41269841269841,28.901734104046245
2008,R1F,18804,4262,2444374676.0,414185.0,,12360505550,504093.0,3125,1756900989.0,405001.0,2168,990201929.0,369783.0,766699060.0,566242.0,15679,10603604561.0,524809.0,2094,1454172747.0,486484.5,9149431814.0,530334.0,59.49058306313431,40.50941693686569,50.868137024870954,49.131862975129046,16.618804509678792,83.38119549032122,13.713947352850553,56.3607132786468,69.376,13.355443586963453
2008,R2F,3306,1273,973772748.0,396708.0,,2007709589,423991.0,1251,1002960869.0,407418.0,960,839167914.0,400512.0,163792955.0,436420.0,2055,1004748720.0,438492.0,313,134604834.0,379796.0,870143886.0,447676.0,13.8230233159082,86.1769766840918,75.41241162608013,24.587588373919875,37.84029038112522,62.15970961887477,13.396865437161242,83.66905827908228,76.73860911270984,15.231143552311435
2008,R3F,1437,674,296915501.0,407840.5,,679736786,414323.0,749,370505747.0,424681.0,529,236884876.0,421229.0,133620871.0,428134.0,688,309231039.0,403274.5,145,60030625.0,336638.0,249200414.0,414323.0,20.218083864877098,79.7819161351229,78.48664688427299,21.513353115727003,52.12247738343771,47.87752261656229,19.412871746034526,63.935546997061834,70.62750333778371,21.075581395348838
2008,RCD,14102,4052,2097848307.0,352175.0,,7600592824,414323.0,2495,1611453088.0,296414.0,1776,797947855.0,254559.0,813505233.0,441945.0,11607,5989139736.0,437042.0,2276,1299900452.0,455755.0,4689239284.0,435039.0,61.96351031018564,38.03648968981436,43.83020730503455,56.16979269496545,17.692525882853495,82.30747411714651,21.704293259121247,49.51728728202357,71.18236472945891,19.608856724390453
2009,LND,443,179,92713495.0,295208.0,,299115778,527157.0,137,88701814.0,351438.0,80,43864696.0,217891.5,44837118.0,527157.0,306,210413964.0,599553.5,99,48848799.0,337381.0,161565165.0,695848.0,52.6879058976258,47.3120941023742,44.6927374301676,55.3072625698324,30.9255079006772,69.07449209932281,23.21556900092429,49.45185901158684,58.3941605839416,32.35294117647059
2009,R1F,18634,3663,2098320765.0,386582.0,,11676155784,494825.0,2805,1575143832.0,394314.0,1745,831412237.0,330352.0,743731595.0,534186.0,15829,10101011952.0,511694.0,1918,1266908528.0,456870.0,8834103424.0,515911.0,60.37725733510529,39.62274266489471,47.63854763854764,52.361452361452365,15.053128689492326,84.94687131050767,12.542392128831729,52.7832582719976,62.21033868092691,12.117000442226294
2009,R2F,3126,1114,438842819.0,324026.0,,1427989516,396422.0,970,424143782.0,344339.0,720,281179180.0,328770.5,142964602.0,407668.0,2156,1003845734.0,416103.0,394,157663639.0,316294.0,846182095.0,428755.0,35.92713203312095,64.07286796687904,64.63195691202873,35.36804308797127,31.03007037747921,68.9699296225208,15.705962944302357,66.29336369712476,74.22680412371135,18.274582560296846
2009,R3F,1337,584,214587985.0,311725.5,,560988965,361278.0,626,255120003.0,340719.5,422,161397556.0,337381.0,93722447.0,348908.0,711,305868962.0,379553.0,162,53190429.0,281151.0,252678533.0,407668.0,24.787235408357088,75.21276459164291,72.26027397260275,27.73972602739726,46.82124158563949,53.1787584143605,17.389940009669893,63.26338746554499,67.41214057507987,22.78481012658228
2009,RCD,12998,3973,1824552374.0,328946.0,,6208233294,396633.0,2132,875588861.0,243898.0,1563,554223861.0,208746.0,321365000.0,393611.0,10866,5332644433.0,420320.0,2410,1270328513.0,418211.0,4062315920.0,421585.0,69.62411883058392,30.375881169416076,39.340548703750315,60.65945129624969,16.402523465148484,83.59747653485151,23.821736644184018,63.29727177742157,73.31144465290807,22.1792748021351
2010,LND,525,200,105141172.0,311823.5,,359501174,521714.0,157,111207951.0,318983.0,79,48985481.0,248098.0,62222470.0,407589.5,368,248293223.0,637895.0,121,56155691.0,396957.0,192137532.0,751382.0,53.40980125273855,46.59019874726145,39.5,60.5,29.904761904761905,70.0952380952381,22.616682937012744,44.04854199678582,50.318471337579616,32.880434782608695
2010,R1F,19160,4112,2326294954.0,388069.5,,12748504655,521006.0,3448,1951921109.0,403761.5,2192,998436358.0,354426.0,953484751.0,567081.0,15712,10796583546.0,545815.0,1920,1327858596.0,453665.0,9468724950.0,552904.0,57.08040563458145,42.91959436541855,53.30739299610895,46.69260700389105,17.995824634655534,82.00417536534447,12.298877606443893,51.151470896870144,63.57308584686775,12.219959266802444
2010,R2F,2990,1015,411281131.0,340249.0,,1477214219,425093.0,995,432909657.0,354426.0,683,260761753.0,333160.0,172147904.0,437715.5,1995,1044304562.0,450120.0,332,150519378.0,354426.0,893785184.0,467700.0,36.597686267304105,63.402313732695895,67.29064039408867,32.70935960591133,33.27759197324415,66.72240802675586,14.413360189840862,60.23468148228442,68.64321608040201,16.641604010025063
2010,R3F,1283,490,227854284.0,354426.0,,634980807,404045.0,621,300983229.0,370020.0,364,169788761.0,356552.5,131194468.0,382780.0,662,333997578.0,425311.0,126,58065523.0,354426.0,275932055.0,444449.5,25.483621365661925,74.51637863433808,74.28571428571429,25.71428571428571,48.402182385035076,51.597817614964924,17.385013193119622,56.41136935241,58.615136876006446,19.033232628398792
2010,RCD,12731,4303,2112772959.0,338831.0,,6553102720,414678.0,2451,1179350436.0,276174.0,1757,749297698.0,248098.0,430052738.0,404045.0,10280,5373752284.0,443032.0,2546,1363475261.0,423184.0,4010277023.0,447285.0,64.53486898305195,35.46513101694804,40.83197768998373,59.16802231001627,19.25221899300919,80.74778100699082,25.372871486087277,63.534779411401345,71.68502651978784,24.766536964980546
2011,LND,428,184,112848690.0,292983.0,,305469965,551087.0,127,97705864.0,313910.0,76,63202391.0,261592.0,34503473.0,488305.0,301,207764101.0,660474.0,108,49646299.0,317398.0,158117802.0,774172.0,43.99368659042475,56.00631340957525,41.30434782608695,58.69565217391305,29.672897196261683,70.32710280373831,23.895513595007444,64.6863846370572,59.84251968503938,35.880398671096344
